sample,dependent_variable,surprise_variable,nobs,coefficient,std_error,t_stat,p_value,r_squared
all_events,spy_pct,headline_surprise,28,1.857524983976019,3.6120188369997637,0.5142622637923249,0.6070686411841126,0.02173167217351868
all_events,spy_pct,core_surprise,28,3.0473060377083776,3.5880274657841653,0.8492984144541345,0.39571526289845216,0.056407022729278555
all_events,qqq_pct,headline_surprise,28,2.339070223695438,3.957131305028324,0.5911025041608257,0.5544517421096053,0.023075504848549366
all_events,qqq_pct,core_surprise,28,3.221595255076794,3.9710244514907154,0.8112756026640463,0.4172074175029117,0.04221665896205484
all_events,tlt_pct,headline_surprise,28,-2.2433915897424024,2.869525565453663,-0.7817987812168975,0.4343328374361344,0.041692330781519904
all_events,tlt_pct,core_surprise,28,-2.4844765622729845,2.7435241498122296,-0.9055785284204717,0.36515897782987705,0.04931658821100249
all_events,usdjpy_pct,headline_surprise,28,4.525393127295543,1.3483437831596055,3.356260609361126,0.0007900408388910826,0.37362743725905434
all_events,usdjpy_pct,core_surprise,28,2.968668229089678,1.287213833766145,2.306274335479999,0.02109530824594881,0.15506960483776333
all_events,dgs2_bp,headline_surprise,28,39.09629629629627,16.373676030991213,2.3877531363327886,0.016951724175262233,0.2029927517381036
all_events,dgs2_bp,core_surprise,28,43.763440860215105,14.469173758344406,3.0245984733562707,0.0024896340957096703,0.24530671298867335
all_events,dgs10_bp,headline_surprise,28,28.992592592592537,14.876085928340665,1.9489395753864458,0.05130264117380165,0.1570702978814149
all_events,dgs10_bp,core_surprise,28,30.645161290322605,14.399021756420526,2.1282807824537056,0.03331381048252753,0.1692470082058346
all_events,yield_curve_10y2y_bp,headline_surprise,28,-10.10370370370374,9.839886123774805,-1.0268110399460322,0.30450944988263684,0.0606364477818192
all_events,yield_curve_10y2y_bp,core_surprise,28,-13.118279569892499,9.368103832417475,-1.4003132122103388,0.16141954608911535,0.0985833399567766
excluding_overlapping_event_days,spy_pct,headline_surprise,27,2.2119504674547845,3.687013284584903,0.5999301593793454,0.5485527817015139,0.03047845997226517
excluding_overlapping_event_days,spy_pct,core_surprise,27,3.4075538773998755,3.6495099482251576,0.9337017642757897,0.3504577546881428,0.07004256315291324
excluding_overlapping_event_days,qqq_pct,headline_surprise,27,2.828972946115579,3.9907375624102976,0.7088847366868584,0.4783960076461955,0.03358555099318494
excluding_overlapping_event_days,qqq_pct,core_surprise,27,3.700494495049831,4.014482823721402,0.9217861073371075,0.356640155411203,0.05564789718119845
excluding_overlapping_event_days,tlt_pct,headline_surprise,27,-1.9298987340131417,2.9340460928838117,-0.6577601963015807,0.5106922349234705,0.031173450356768106
excluding_overlapping_event_days,tlt_pct,core_surprise,27,-2.189595831967097,2.7792155158771474,-0.787846721298992,0.43078636858599406,0.03885778943395668
excluding_overlapping_event_days,usdjpy_pct,headline_surprise,27,4.310960993381963,1.4085606572084801,3.0605433790302867,0.0022093575353465344,0.3549403717727483
excluding_overlapping_event_days,usdjpy_pct,core_surprise,27,2.7153297139882433,1.2953571184953532,2.0962016383113613,0.03606430768820647,0.13635990860547187
excluding_overlapping_event_days,dgs2_bp,headline_surprise,27,37.99050632911393,16.613167559738947,2.286770791452301,0.02220920520166069,0.1903568715226066
excluding_overlapping_event_days,dgs2_bp,core_surprise,27,42.74509803921574,14.625507406191641,2.9226403468996773,0.0034707716308464785,0.23335944002376685
excluding_overlapping_event_days,dgs10_bp,headline_surprise,27,26.518987341772092,14.894046357621098,1.780509252155151,0.07499265652010892,0.136865870495812
excluding_overlapping_event_days,dgs10_bp,core_surprise,27,28.284313725490208,14.33820651121548,1.9726535325994887,0.04853504946298164,0.1507672201109307
excluding_overlapping_event_days,yield_curve_10y2y_bp,headline_surprise,27,-11.471518987341833,9.913056449636992,-1.157213120456094,0.2471852985336248,0.07759704483880181
excluding_overlapping_event_days,yield_curve_10y2y_bp,core_surprise,27,-14.460784313725533,9.46152922389439,-1.5283770700835437,0.1264189445795334,0.11940468480730537
