window,dependent_variable,surprise_variable,nobs,coefficient,std_error,t_stat,p_value,r_squared
5d_before_to_5d_after,spy_pct,headline_surprise,28,-0.3537496227641881,5.263287324780093,-0.06721077549741562,0.9464139069171253,0.00012174900461803251
5d_before_to_5d_after,spy_pct,core_surprise,28,-0.17253119545231255,5.366079475476179,-0.032152187875861146,0.9743506849935337,2.793096413788998e-05
5d_before_to_5d_after,qqq_pct,headline_surprise,28,1.6825060873708724,7.1707990361959215,0.23463299959713202,0.8144935944633086,0.0017200909031328537
5d_before_to_5d_after,qqq_pct,core_surprise,28,0.31595640021008675,6.64921526045923,0.04751784802170251,0.9621005057384793,5.850185548195164e-05
5d_before_to_5d_after,tlt_pct,headline_surprise,28,-5.731953064331675,5.134300962131551,-1.1164037921828414,0.2642493310114631,0.05772419144970853
5d_before_to_5d_after,tlt_pct,core_surprise,28,-6.477401867587456,4.787015062337298,-1.3531191741069668,0.17601756104689015,0.07109376386452615
5d_before_to_5d_after,usdjpy_pct,headline_surprise,28,4.50357402409057,4.324183694148745,1.0414853629332552,0.29765034293865633,0.07072653587442679
5d_before_to_5d_after,usdjpy_pct,core_surprise,28,2.666400380948158,3.4894786001776605,0.7641257295036579,0.4447923207602146,0.023910888667190933
5d_before_to_5d_after,dgs2_bp,headline_surprise,28,55.377777777777744,27.28636071532892,2.0295039838957942,0.042406983622775195,0.15936480563339783
5d_before_to_5d_after,dgs2_bp,core_surprise,28,43.65591397849461,26.794257053986122,1.629301155487721,0.10324928167541839,0.095517897581746
5d_before_to_5d_after,dgs10_bp,headline_surprise,28,45.05185185185185,32.56143578044706,1.3835953720107517,0.16648238620691547,0.08815961177163978
5d_before_to_5d_after,dgs10_bp,core_surprise,28,42.25806451612905,30.759599110912013,1.3738171412363416,0.1694984582306137,0.0748067511462912
5d_before_to_5d_after,yield_curve_10y2y_bp,headline_surprise,28,-10.325925925925876,17.688565784063584,-0.5837627567990257,0.5593799383761816,0.017973604301301793
5d_before_to_5d_after,yield_curve_10y2y_bp,core_surprise,28,-1.3978494623655564,17.258024776356297,-0.08099707124540852,0.9354442816611266,0.00031766925823562
event_close_to_5d_after,spy_pct,headline_surprise,28,-0.6862830951348476,2.687001071050551,-0.25540856776306675,0.7984075540708606,0.0014364634841064206
event_close_to_5d_after,spy_pct,core_surprise,28,-3.4148551470755306,3.0764343192633032,-1.1100042427992636,0.26699719819833945,0.0343012365256774
event_close_to_5d_after,qqq_pct,headline_surprise,28,0.853470269332365,4.0795577838951385,0.20920656466777054,0.8342869879518293,0.001292641900501823
event_close_to_5d_after,qqq_pct,core_surprise,28,-5.348726743467683,4.003301712383698,-1.3360788488467121,0.18152350254071492,0.0489642913312498
event_close_to_5d_after,tlt_pct,headline_surprise,28,-3.259158327814583,2.8554320044366697,-1.1413888766220375,0.2537081315063371,0.053286971349719825
event_close_to_5d_after,tlt_pct,core_surprise,28,-6.528296795882112,2.2079573668720087,-2.956713247199463,0.003109371387459189,0.20619926668408184
event_close_to_5d_after,usdjpy_pct,headline_surprise,28,-0.36312074542334827,3.7626572611621696,-0.09650646344312301,0.92311834080362,0.000780632417311411
event_close_to_5d_after,usdjpy_pct,core_surprise,28,3.0567635535743767,2.7959644603144733,1.0932769700622627,0.27427221127209833,0.05335134450325851
event_close_to_5d_after,dgs2_bp,headline_surprise,28,6.059259259259168,16.219103741177495,0.373587798435234,0.7087110131436049,0.005139544654673367
event_close_to_5d_after,dgs2_bp,core_surprise,28,16.881720430107404,14.595322200878565,1.1566528095619026,0.24741423705614474,0.0384765564459818
event_close_to_5d_after,dgs10_bp,headline_surprise,28,14.859259259259337,19.561359635098164,0.7596230290965033,0.44747994955324333,0.022698848652944914
event_close_to_5d_after,dgs10_bp,core_surprise,28,37.74193548387103,16.965669268019745,2.2246063440016783,0.026107676389089736,0.1412326344962168
event_close_to_5d_after,yield_curve_10y2y_bp,headline_surprise,28,8.800000000000175,9.427173475918858,0.9334717370460234,0.35057645646000934,0.026277900663584153
event_close_to_5d_after,yield_curve_10y2y_bp,core_surprise,28,20.860215053763625,8.48789467447498,2.457643014409099,0.013985211462573012,0.14240987353212864
event_close_to_next_close,spy_pct,headline_surprise,28,-0.1062420936058482,1.6093084909030653,-0.06601723299566407,0.9473641054375634,0.00015040664547527616
event_close_to_next_close,spy_pct,core_surprise,28,-0.2561942625974952,1.6178502539583655,-0.1583547438773578,0.8741772728979913,0.0008435091531721062
event_close_to_next_close,qqq_pct,headline_surprise,28,0.5691029551317985,1.9408883755624706,0.2932177668212744,0.7693557046656673,0.002025824414053301
event_close_to_next_close,qqq_pct,core_surprise,28,-0.029261547408652833,2.2618588026105844,-0.012936946981341117,0.989678097660637,5.165256732553303e-06
event_close_to_next_close,tlt_pct,headline_surprise,28,-0.9129900894257108,1.7845108880437028,-0.5116192316576953,0.6089175231644839,0.014586327301260638
event_close_to_next_close,tlt_pct,core_surprise,28,-3.022009196191111,1.3632385100943165,-2.2167868453056183,0.0266376608605022,0.15412837756781084
event_close_to_next_close,usdjpy_pct,headline_surprise,28,-0.027214315147868318,1.2024325044325288,-0.022632717468588172,0.9819432457409586,2.2772669475257246e-05
event_close_to_next_close,usdjpy_pct,core_surprise,28,1.7792984197711934,0.8714157500264734,2.041847900634271,0.041166621084207086,0.09388450594954434
event_close_to_next_close,dgs2_bp,headline_surprise,28,-16.68148148148156,12.62750058987513,-1.3210438093233554,0.18648675714595686,0.05731523296761987
event_close_to_next_close,dgs2_bp,core_surprise,28,1.0752688172042415,13.24918260292751,0.0811573701887581,0.9353168012956701,0.00022967416454400258
event_close_to_next_close,dgs10_bp,headline_surprise,28,-10.044444444444464,10.646910743905957,-0.9434139804537827,0.34546919498104145,0.036170242900644634
event_close_to_next_close,dgs10_bp,core_surprise,28,6.666666666666592,11.468726585464823,0.5812909233633452,0.5610443969279169,0.015367183627221559
event_close_to_next_close,yield_curve_10y2y_bp,headline_surprise,28,6.6370370370370875,9.256769115909742,0.7169928248107557,0.4733785239857201,0.02839374133491812
event_close_to_next_close,yield_curve_10y2y_bp,core_surprise,28,5.591397849462343,5.810431769532124,0.9623033315323797,0.33589725597677456,0.019435340118451938
prev_close_to_event_close,spy_pct,headline_surprise,28,1.857524983976019,3.6120188369997637,0.5142622637923249,0.6070686411841126,0.02173167217351868
prev_close_to_event_close,spy_pct,core_surprise,28,3.0473060377083776,3.5880274657841653,0.8492984144541345,0.39571526289845216,0.056407022729278555
prev_close_to_event_close,qqq_pct,headline_surprise,28,2.339070223695438,3.957131305028324,0.5911025041608257,0.5544517421096053,0.023075504848549366
prev_close_to_event_close,qqq_pct,core_surprise,28,3.221595255076794,3.9710244514907154,0.8112756026640463,0.4172074175029117,0.04221665896205484
prev_close_to_event_close,tlt_pct,headline_surprise,28,-2.2433915897424024,2.869525565453663,-0.7817987812168975,0.4343328374361344,0.041692330781519904
prev_close_to_event_close,tlt_pct,core_surprise,28,-2.4844765622729845,2.7435241498122296,-0.9055785284204717,0.36515897782987705,0.04931658821100249
prev_close_to_event_close,usdjpy_pct,headline_surprise,28,4.525393127295543,1.3483437831596055,3.356260609361126,0.0007900408388910826,0.37362743725905434
prev_close_to_event_close,usdjpy_pct,core_surprise,28,2.968668229089678,1.287213833766145,2.306274335479999,0.02109530824594881,0.15506960483776333
prev_close_to_event_close,dgs2_bp,headline_surprise,28,39.09629629629627,16.373676030991213,2.3877531363327886,0.016951724175262233,0.2029927517381036
prev_close_to_event_close,dgs2_bp,core_surprise,28,43.763440860215105,14.469173758344406,3.0245984733562707,0.0024896340957096703,0.24530671298867335
prev_close_to_event_close,dgs10_bp,headline_surprise,28,28.992592592592537,14.876085928340665,1.9489395753864458,0.05130264117380165,0.1570702978814149
prev_close_to_event_close,dgs10_bp,core_surprise,28,30.645161290322605,14.399021756420526,2.1282807824537056,0.03331381048252753,0.1692470082058346
prev_close_to_event_close,yield_curve_10y2y_bp,headline_surprise,28,-10.10370370370374,9.839886123774805,-1.0268110399460322,0.30450944988263684,0.0606364477818192
prev_close_to_event_close,yield_curve_10y2y_bp,core_surprise,28,-13.118279569892499,9.368103832417475,-1.4003132122103388,0.16141954608911535,0.0985833399567766
