dependent_variable,surprise_variable,nobs,coefficient,std_error,t_stat,p_value,r_squared
spy_pct,headline_surprise,28,1.857524983976017,3.612018836999762,0.5142622637923246,0.6070686411841129,0.02173167217351868
spy_pct,core_surprise,28,3.047306037708376,3.588027465784163,0.8492984144541345,0.39571526289845216,0.056407022729278555
qqq_pct,headline_surprise,28,2.339070223695435,3.9571313050283217,0.5911025041608252,0.5544517421096057,0.023075504848549255
qqq_pct,core_surprise,28,3.2215952550767915,3.971024451490713,0.8112756026640461,0.4172074175029119,0.04221665896205484
tlt_pct,headline_surprise,28,-2.2433915897424015,2.8695255654536616,-0.7817987812168976,0.43433283743613427,0.041692330781519904
tlt_pct,core_surprise,28,-2.4844765622729836,2.7435241498122287,-0.9055785284204716,0.36515897782987705,0.049316588211002155
usdjpy_pct,headline_surprise,28,4.5253931272955406,1.3483437831596052,3.3562606093611245,0.0007900408388910864,0.37362743725905434
usdjpy_pct,core_surprise,28,2.968668229089676,1.2872138337661443,2.306274335479999,0.02109530824594881,0.15506960483776322
dgs2_bp,headline_surprise,28,39.09629629629625,16.373676030991213,2.3877531363327873,0.016951724175262292,0.2029927517381036
dgs2_bp,core_surprise,28,43.763440860215084,14.469173758344404,3.02459847335627,0.002489634095709675,0.24530671298867335
dgs10_bp,headline_surprise,28,28.99259259259252,14.87608592834066,1.9489395753864454,0.051302641173801684,0.1570702978814149
dgs10_bp,core_surprise,28,30.645161290322587,14.39902175642052,2.128280782453705,0.033313810482527566,0.1692470082058346
yield_curve_10y2y_bp,headline_surprise,28,-10.103703703703728,9.839886123774802,-1.0268110399460313,0.3045094498826374,0.06063644778181887
yield_curve_10y2y_bp,core_surprise,28,-13.11827956989249,9.368103832417471,-1.4003132122103383,0.16141954608911546,0.0985833399567766
